Movie_Script,Movie_Trope
piratesofthecaribbean,PiratesOfTheCaribbeanTheCurseOfTheBlackPearl
lordoftheringsfellowshipoftheringthe,TheLordOfTheRingsTheFellowshipOfTheRing
rambofirstbloodiithemission,RamboFirstBloodPartII
dawnofthedead,DawnOfTheDead1978
fantasticfour,FantasticFour2005
batman2,BatmanReturns
ghostbusters2,GhostbustersII
freddyvs.jason,FreddyVsJason
chroniclesofnarniathelionthewitchandthewardrobe,TheLionTheWitchAndTheWardrobe
walkingtall,WalkingTall2004
terminator2judgementday,Terminator2JudgmentDay
lordoftheringsthetwotowers,TheLordOfTheRingsTheTwoTowers
starwarstheempirestrikesback,TheEmpireStrikesBack
thelmalouise,ThelmaAndLouise
brokenarrow,BrokenArrow1996
transformersthemovie,Transformers
priest,Priest2011
saintthe,TheSaint1997
hellboy2thegoldenarmy,HellboyIITheGoldenArmy
mechanicthe,TheMechanic2011
startrek,StarTrek2009
starwarsthephantommenace,ThePhantomMenace
starwarsreturnofthejedi,ReturnOfTheJedi
missionimpossible,ReturnOfTheJedi
thingthe,TheThing1982
cryinggame,TheCryingGame
planetoftheapesthe,PlanetOfTheApes1968
evildeadiideadbydawn,EvilDead2
avengersthe,TheAvengers1998
g.i.jane,GIJane
48hrs.,FortyEightHours
g.i.joetheriseofcobra,GIJoeTheRiseOfCobra
sherlockholmes,SherlockHolmes2009
pointbreak,PointBreak1991
mummythe,TheMummy1999
terminator,TheTerminator
indianajonesandtheraidersofthelostark,RaidersOfTheLostArk
threemusketeersthe,TheThreeMusketeers1993
debtthe,TheDebt
jurassicparkthelostworld,TheLostWorldJurassicPark
alienvs.predator,AlienVsPredator
xmen,XMen1
aloneinthedark,AloneInTheDark2005
rockthe,TheRock
lordoftheringsreturnoftheking,TheLordOfTheRingsTheReturnOfTheKing
italianjobthe,TheItalianJob2003
gonein60seconds,GoneInSixtySeconds2000
clashofthetitans,ClashOfTheTitans2010
scarface,Scarface1983
siegethe,TheSiege
flashgordon,FlashGordon1980
starwarsanewhope,ANewHope
totalrecall,TotalRecall1990
crowthe,TheCrow
manintheironmask,TheManInTheIronMask
cowboysaliens,CowboysAndAliens
timemachinethe,TheTimeMachine1960
oblivion,Oblivion2013
charliesangels,CharliesAngels
starwarsattackoftheclones,AttackOfTheClones
